Team,Date,Innings,Runs Scored,Result
Royal Challengers Bangalore,2022-05-27,[],157,Lost
Royal Challengers Bangalore,2023-04-02,[],172,Lost
Royal Challengers Bangalore,2023-04-06,[],123,Lost
Royal Challengers Bangalore,2023-04-10,[],212,Won
Royal Challengers Bangalore,2023-04-15,[],174,Won
Royal Challengers Bangalore,2023-04-17,[],218,Lost
Royal Challengers Bangalore,2023-04-20,[],174,Won
Royal Challengers Bangalore,2023-04-23,[],189,Won
Royal Challengers Bangalore,2023-04-26,[],179,Lost
Royal Challengers Bangalore,2023-05-01,[],126,Won
Royal Challengers Bangalore,2023-05-06,[],181,Won
Royal Challengers Bangalore,2023-05-09,[],199,Won
Royal Challengers Bangalore,2023-05-14,[],171,Won
Royal Challengers Bangalore,2023-05-18,[],187,Won
Royal Challengers Bangalore,2023-05-21,[],197,Won
