Team,Date,Innings,Runs Scored,Result
Mumbai Indians,2018-05-20,[],163,Won
Mumbai Indians,2019-04-18,[],168,Won
Mumbai Indians,2019-04-20,[],161,Won
Mumbai Indians,2019-04-26,[],155,Won
Mumbai Indians,2019-04-28,[],198,Won
Mumbai Indians,2019-05-02,[],162,Lost
Mumbai Indians,2019-05-05,[],134,Lost
Mumbai Indians,2019-05-07,[],132,Won
Mumbai Indians,2019-05-12,[],149,Won
Mumbai Indians,2020-09-19,[],162,Lost
Mumbai Indians,2020-09-23,[],195,Won
Mumbai Indians,2020-09-28,[],201,Lost
Mumbai Indians,2020-10-01,[],191,Won
Mumbai Indians,2020-10-04,[],208,Won
Mumbai Indians,2020-10-06,[],193,Won
Mumbai Indians,2020-10-11,[],166,Won
Mumbai Indians,2020-10-16,[],149,Won
Mumbai Indians,2020-10-18,[],176,Won
Mumbai Indians,2020-10-23,[],116,Won
Mumbai Indians,2020-10-25,[],195,Won
Mumbai Indians,2020-10-28,[],166,Won
Mumbai Indians,2020-10-31,[],111,Won
Mumbai Indians,2020-11-03,[],149,Won
Mumbai Indians,2020-11-05,[],200,Won
Mumbai Indians,2020-11-10,[],157,Won
Mumbai Indians,2021-04-09,[],159,Won
Mumbai Indians,2021-04-13,[],152,Won
Mumbai Indians,2021-04-17,[],150,Won
Mumbai Indians,2021-04-20,[],72,No opponent information
Mumbai Indians,2021-04-20,[],65,Lost
Mumbai Indians,2021-04-23,[],131,Won
Mumbai Indians,2021-04-29,[],172,Won
Mumbai Indians,2021-05-01,[],219,Won
Mumbai Indians,2021-09-19,[],136,Lost
Mumbai Indians,2021-09-23,[],155,Won
Mumbai Indians,2021-09-26,[],111,Lost
Mumbai Indians,2021-09-28,[],137,Won
Mumbai Indians,2021-10-02,[],129,Lost
Mumbai Indians,2021-10-05,[],94,Won
Mumbai Indians,2021-10-08,[],235,Won
Mumbai Indians,2022-03-27,[],177,Won
Mumbai Indians,2022-04-02,[],170,Lost
Mumbai Indians,2022-04-06,[],161,Won
Mumbai Indians,2022-04-09,[],151,Won
Mumbai Indians,2022-04-13,[],186,Won
Mumbai Indians,2022-04-16,[],181,Lost
Mumbai Indians,2022-04-21,[],155,Won
Mumbai Indians,2022-04-24,[],132,Lost
Mumbai Indians,2022-04-30,[],161,Lost
Mumbai Indians,2022-05-06,[],177,Won
Mumbai Indians,2022-05-09,[],113,Lost
Mumbai Indians,2022-05-12,[],103,Won
Mumbai Indians,2022-05-17,[],190,Won
